contrato_id,barrio,nombre_titular,edad_titular,sexo,vive_solo,n_personas_hogar,telefono_contacto,direccion_sintetica
CTR-23-00091,23-CENTRO TRADICIONAL,Amparo Medina Castillo,45,F,False,4,+34 689 125 218,"C/ Castaños 43, 5o A"
CTR-20-00092,20-BENALUA,Encarnacion Gil Rubio,27,F,False,4,+34 659 588 235,"C/ Churruca 37, 1o B"
CTR-12-00093,12-POLIGONO BABEL,Rafael Navarro Dominguez,60,M,False,3,+34 689 322 289,"C/ Ecuador 29, 3o B"
CTR-21-00094,21-ALIPARK,Concepcion Navarro Dominguez,36,F,False,2,+34 646 751 352,"C/ Poeta Zorrilla 8, 3o C"
CTR-22-00095,22-ALTOZANO,Josefa Fernandez Sanchez,47,F,False,4,+34 667 626 943,"C/ Teniente Alvarez Soto 39, 5o C"
CTR-14-00096,14-ENSANCHE DIPUTACION,Dolores Romero Torres,45,F,False,3,+34 675 294 189,"C/ Doctor Gadea 27, 5o C"
CTR-22-00097,22-ALTOZANO,Encarnacion Gil Rubio,47,F,False,4,+34 657 593 575,"C/ Alfonso el Sabio 9, 2o C"
CTR-23-00098,23-CENTRO TRADICIONAL,Rosa Alvarez Hernandez,77,F,True,1,+34 629 199 128,"C/ Mayor 31, 2o B"
CTR-23-00099,23-CENTRO TRADICIONAL,Carlos Serrano Ramos,68,M,False,3,+34 671 508 538,"C/ Castaños 44, 2o C"
CTR-11-00100,11-CIUDAD DE ASIS,Maria Garcia Lopez,35,F,False,4,+34 642 526 224,"C/ Rio Segura 40, 5o C"
CTR-19-00101,19-GARBINET,Fernando Muñoz Flores,33,M,True,1,+34 698 643 594,"C/ Alcalde Suárez Llanos 9, 3o A"
CTR-24-00102,24-CASCO ANTIGUO,Encarnacion Gil Rubio,51,F,True,1,+34 670 548 263,"C/ San Rafael 35, 3o C"
CTR-21-00103,21-ALIPARK,Maria Garcia Lopez,65,F,True,1,+34 651 447 813,"C/ Poeta Zorrilla 12, 3o A"
CTR-15-00104,15-POLIGONO SAN BLAS,Isabel Serrano Ramos,53,F,False,2,+34 686 280 791,"C/ Vistahermosa 11, 1o C"
CTR-12-00105,12-POLIGONO BABEL,Francisca Gutierrez Vazquez,61,F,False,3,+34 698 821 708,"C/ Ecuador 38, 3o C"
CTR-18-00106,18-CAROLINAS BAJAS,Manuel Fernandez Sanchez,27,M,False,3,+34 681 928 794,"C/ Italia 8, 1o B"
CTR-12-00107,12-POLIGONO BABEL,Pedro Moreno Jimenez,66,M,False,3,+34 631 996 532,"C/ Chile 7, 5o D"
CTR-20-00108,20-BENALUA,Luisa Castro Delgado,61,F,False,4,+34 672 176 620,"C/ Isabel la Católica 44, 2o B"
CTR-10-00109,10-FLORIDA BAJA,Francisca Gutierrez Vazquez,62,F,True,1,+34 629 484 516,"C/ Canalejas 28, 5o C"
CTR-22-00110,22-ALTOZANO,Luisa Castro Delgado,61,F,False,2,+34 612 124 503,"C/ Alfonso el Sabio 35, 2o B"
CTR-15-00111,15-POLIGONO SAN BLAS,Luis Blanco Molina,29,M,False,4,+34 696 851 911,"C/ Escritor Azorín 42, 1o C"
CTR-18-00112,18-CAROLINAS BAJAS,Josefa Fernandez Sanchez,75,F,True,1,+34 682 869 838,"C/ Reyes Catolicos 8, 1o D"
CTR-10-00113,10-FLORIDA BAJA,Antonia Suarez Ortega,40,F,False,4,+34 619 140 934,"C/ Garcia Morato 21, 3o B"
CTR-24-00114,24-CASCO ANTIGUO,Isabel Serrano Ramos,91,F,True,1,+34 657 303 767,"C/ Labradores 4, 4o B"
CTR-16-00115,16-PLA DEL BON REPOS,Luisa Castro Delgado,82,F,True,1,+34 659 753 753,"C/ Virgen de la Cabeza 13, 4o C"
CTR-11-00116,11-CIUDAD DE ASIS,Josefa Fernandez Sanchez,76,F,True,1,+34 634 627 921,"C/ Rio Segura 1, 3o A"
CTR-22-00117,22-ALTOZANO,Manuel Romero Torres,80,M,True,1,+34 665 124 156,"C/ Teniente Alvarez Soto 5, 4o C"
CTR-22-00118,22-ALTOZANO,Concepcion Navarro Dominguez,28,F,False,4,+34 676 609 680,"C/ Teniente Alvarez Soto 28, 4o C"
CTR-23-00119,23-CENTRO TRADICIONAL,Salvador Gil Rubio,35,M,False,4,+34 638 880 510,"C/ Gerona 14, 5o C"
CTR-19-00120,19-GARBINET,Encarnacion Gil Rubio,55,F,False,2,+34 614 513 184,"C/ Alcalde Suárez Llanos 21, 3o C"
CTR-21-00121,21-ALIPARK,Juan Ruiz Diaz,33,M,False,4,+34 619 820 592,"C/ Deportista Moro 28, 3o D"
CTR-22-00122,22-ALTOZANO,Alejandro Garrido Santos,34,M,False,3,+34 684 694 892,"C/ Alfonso el Sabio 12, 4o C"
CTR-16-00123,16-PLA DEL BON REPOS,Carmen Martinez Perez,88,F,False,2,+34 633 591 369,"C/ Escritor Azorin 33, 1o A"
CTR-16-00124,16-PLA DEL BON REPOS,Andres Castro Delgado,76,M,False,3,+34 689 135 590,"C/ Virgen de la Cabeza 7, 2o B"
CTR-17-00125,17-CAROLINAS ALTAS,Juan Ruiz Diaz,37,M,False,2,+34 635 833 688,"C/ San Isidro 23, 3o A"
CTR-21-00126,21-ALIPARK,Joaquin Suarez Ortega,41,M,False,2,+34 669 549 255,"C/ Deportista Moro 34, 4o D"
CTR-14-00127,14-ENSANCHE DIPUTACION,Alejandro Garrido Santos,87,M,False,3,+34 648 753 610,"Av. Alfonso el Sabio 22, 2o A"
CTR-20-00128,20-BENALUA,Maria Garcia Lopez,82,F,True,1,+34 638 936 774,"C/ Churruca 30, 5o B"
CTR-23-00129,23-CENTRO TRADICIONAL,Consuelo Herrera Iglesias,25,F,False,4,+34 620 301 295,"C/ Castaños 1, 4o B"
CTR-17-00130,17-CAROLINAS ALTAS,Miguel Alvarez Hernandez,74,M,True,1,+34 661 910 469,"C/ San Isidro 11, 2o A"
CTR-19-00131,19-GARBINET,Emilio Ortiz Marin,25,M,True,1,+34 662 396 466,"C/ Jose Maria Py 35, 3o A"
CTR-12-00132,12-POLIGONO BABEL,Amparo Medina Castillo,27,F,False,2,+34 611 311 715,"C/ Ecuador 10, 2o D"
CTR-21-00133,21-ALIPARK,Joaquin Suarez Ortega,63,M,False,2,+34 611 763 519,"C/ Poeta Zorrilla 38, 1o A"
CTR-24-00134,24-CASCO ANTIGUO,Encarnacion Gil Rubio,64,F,False,2,+34 630 276 602,"C/ Mayor 37, 3o D"
CTR-19-00135,19-GARBINET,Luis Blanco Molina,46,M,False,4,+34 691 557 474,"C/ Catedratico Soler 30, 2o D"
CTR-20-00136,20-BENALUA,Alejandro Garrido Santos,91,M,True,1,+34 628 894 352,"C/ Isabel la Católica 17, 4o C"
CTR-12-00137,12-POLIGONO BABEL,Salvador Gil Rubio,50,M,False,4,+34 639 349 138,"C/ Chile 25, 5o D"
CTR-24-00138,24-CASCO ANTIGUO,Isabel Serrano Ramos,56,F,True,1,+34 684 944 395,"C/ San Rafael 14, 3o A"
CTR-21-00139,21-ALIPARK,Maria Garcia Lopez,87,F,True,1,+34 611 280 547,"C/ Deportista Moro 7, 5o D"
CTR-17-00140,17-CAROLINAS ALTAS,Maria Garcia Lopez,69,F,False,2,+34 655 450 224,"C/ San Isidro 7, 5o C"
CTR-19-00141,19-GARBINET,Fernando Muñoz Flores,60,M,False,2,+34 637 156 880,"C/ Alcalde Suárez Llanos 16, 3o A"
CTR-20-00142,20-BENALUA,Carlos Serrano Ramos,68,M,False,4,+34 686 341 918,"C/ Isabel la Católica 18, 1o A"
CTR-17-00143,17-CAROLINAS ALTAS,Fernando Muñoz Flores,64,M,False,4,+34 653 552 500,"C/ Azorin 27, 5o B"
CTR-12-00144,12-POLIGONO BABEL,Antonio Martinez Perez,50,M,True,1,+34 677 167 857,"C/ Chile 25, 5o A"
CTR-23-00145,23-CENTRO TRADICIONAL,Josefa Fernandez Sanchez,30,F,False,2,+34 698 666 747,"C/ San Fernando 32, 5o A"
CTR-20-00146,20-BENALUA,Luis Blanco Molina,73,M,True,1,+34 610 738 502,"C/ Churruca 14, 4o D"
CTR-16-00147,16-PLA DEL BON REPOS,Rafael Navarro Dominguez,88,M,True,1,+34 672 967 270,"C/ Virgen de la Cabeza 10, 1o A"
CTR-22-00148,22-ALTOZANO,Carmen Martinez Perez,35,F,False,3,+34 662 203 683,"C/ Teniente Alvarez Soto 24, 4o B"
CTR-21-00149,21-ALIPARK,Fernando Muñoz Flores,54,M,False,2,+34 676 708 713,"C/ Deportista Moro 14, 2o A"
CTR-24-00150,24-CASCO ANTIGUO,Manuela Blanco Molina,73,F,False,4,+34 666 168 828,"C/ Maldonado 44, 4o A"
CTR-12-00151,12-POLIGONO BABEL,Ramon Gutierrez Vazquez,48,M,False,2,+34 661 260 333,"C/ Peru 26, 3o B"
CTR-12-00152,12-POLIGONO BABEL,Pilar Ruiz Diaz,30,F,False,4,+34 625 915 122,"C/ Ecuador 39, 2o C"
CTR-18-00153,18-CAROLINAS BAJAS,Manuela Blanco Molina,67,F,False,2,+34 659 917 584,"C/ Padre Mariana 15, 3o D"
CTR-19-00154,19-GARBINET,Manuela Blanco Molina,49,F,False,3,+34 670 633 549,"C/ Alcalde Suárez Llanos 42, 3o C"
CTR-24-00155,24-CASCO ANTIGUO,Manuela Blanco Molina,27,F,False,3,+34 644 851 260,"C/ Labradores 6, 3o B"
CTR-23-00156,23-CENTRO TRADICIONAL,Luis Blanco Molina,51,M,False,3,+34 674 609 268,"C/ San Fernando 7, 4o D"
CTR-19-00157,19-GARBINET,Luisa Castro Delgado,45,F,True,1,+34 617 833 251,"C/ Alcalde Suárez Llanos 17, 1o C"
CTR-11-00158,11-CIUDAD DE ASIS,Josefa Fernandez Sanchez,41,F,False,4,+34 689 892 137,"C/ Rio Jucar 18, 1o C"
CTR-16-00159,16-PLA DEL BON REPOS,Angel Romero Torres,32,M,False,3,+34 684 540 953,"C/ Virgen de la Cabeza 35, 2o C"
CTR-10-00160,10-FLORIDA BAJA,Fernando Muñoz Flores,51,M,False,3,+34 664 167 581,"C/ Poeta Vila y Blanco 15, 1o A"
CTR-14-00161,14-ENSANCHE DIPUTACION,Carmen Martinez Perez,73,F,True,1,+34 650 479 614,"C/ Foglietti 11, 5o A"
CTR-10-00162,10-FLORIDA BAJA,Concepcion Navarro Dominguez,26,F,True,1,+34 617 947 328,"C/ Canalejas 5, 2o A"
CTR-23-00163,23-CENTRO TRADICIONAL,Rosa Alvarez Hernandez,55,F,False,2,+34 654 757 555,"C/ Castaños 14, 2o A"
CTR-10-00164,10-FLORIDA BAJA,Salvador Gil Rubio,60,M,False,2,+34 612 802 728,"C/ Garcia Morato 34, 2o C"
CTR-19-00165,19-GARBINET,Francisca Gutierrez Vazquez,55,F,False,3,+34 663 121 194,"C/ Alcalde Suárez Llanos 36, 2o B"
CTR-13-00166,13-SAN GABRIEL,Joaquin Suarez Ortega,34,M,False,2,+34 661 300 313,"C/ Ingeniero Canales 11, 3o B"
CTR-13-00167,13-SAN GABRIEL,Pilar Ruiz Diaz,59,F,False,4,+34 673 515 375,"C/ Virgen del Socorro 36, 3o C"
CTR-14-00168,14-ENSANCHE DIPUTACION,Manuel Fernandez Sanchez,35,M,False,4,+34 647 421 718,"Av. Alfonso el Sabio 24, 3o D"
CTR-19-00169,19-GARBINET,Jose Garcia Lopez,66,M,False,2,+34 631 199 141,"C/ Jose Maria Py 14, 3o C"
CTR-24-00170,24-CASCO ANTIGUO,Emilia Ortiz Marin,89,F,True,1,+34 692 663 658,"C/ Labradores 25, 3o D"
CTR-22-00171,22-ALTOZANO,Maria Garcia Lopez,48,F,True,1,+34 622 808 324,"C/ Bono Guarner 10, 3o C"
CTR-24-00172,24-CASCO ANTIGUO,Angel Romero Torres,39,M,False,2,+34 610 193 529,"C/ San Rafael 15, 3o B"
CTR-23-00173,23-CENTRO TRADICIONAL,Mercedes Muñoz Flores,69,F,False,3,+34 692 694 959,"C/ Gerona 5, 3o D"
CTR-16-00174,16-PLA DEL BON REPOS,Manuel Fernandez Sanchez,25,M,False,4,+34 663 706 390,"C/ Virgen de la Cabeza 13, 1o B"
CTR-13-00175,13-SAN GABRIEL,Teresa Moreno Jimenez,76,F,False,2,+34 669 731 338,"C/ Jaime I 34, 4o A"
CTR-11-00176,11-CIUDAD DE ASIS,Emilio Ortiz Marin,81,M,False,2,+34 687 120 780,"C/ Rio Turia 17, 1o D"
CTR-22-00177,22-ALTOZANO,Jose Garcia Lopez,29,M,False,3,+34 614 542 979,"C/ Alfonso el Sabio 11, 4o B"
CTR-11-00178,11-CIUDAD DE ASIS,Alejandro Garrido Santos,32,M,False,3,+34 635 737 406,"C/ Rio Mundo 33, 1o B"
CTR-20-00179,20-BENALUA,Amparo Medina Castillo,34,F,False,3,+34 651 963 432,"C/ Arquitecto Morell 23, 1o D"
CTR-10-00180,10-FLORIDA BAJA,Teresa Moreno Jimenez,42,F,False,2,+34 664 281 281,"C/ Canalejas 8, 1o A"
CTR-10-00181,10-FLORIDA BAJA,Antonio Martinez Perez,54,M,False,2,+34 686 976 589,"C/ Poeta Vila y Blanco 17, 2o A"
CTR-21-00182,21-ALIPARK,Rafael Navarro Dominguez,27,M,False,3,+34 647 384 350,"C/ Poeta Zorrilla 7, 3o B"
CTR-12-00183,12-POLIGONO BABEL,Antonio Martinez Perez,48,M,False,4,+34 671 298 557,"C/ Ecuador 11, 4o C"
CTR-23-00184,23-CENTRO TRADICIONAL,Francisca Gutierrez Vazquez,57,F,False,2,+34 691 703 835,"C/ Bazán 8, 2o B"
CTR-18-00185,18-CAROLINAS BAJAS,Antonio Navarro Dominguez,82,M,True,1,+34 662 239 668,"C/ Italia 23, 3o A"
CTR-18-00186,18-CAROLINAS BAJAS,Aurora Garrido Santos,58,F,False,4,+34 677 702 856,"C/ Padre Mariana 2, 1o D"
CTR-20-00187,20-BENALUA,Carmen Martinez Perez,38,F,True,1,+34 644 544 712,"C/ Isabel la Católica 17, 4o D"
CTR-20-00188,20-BENALUA,Francisca Gutierrez Vazquez,40,F,False,4,+34 618 610 152,"C/ Isabel la Católica 14, 3o A"
CTR-16-00189,16-PLA DEL BON REPOS,Pedro Moreno Jimenez,69,M,False,3,+34 695 424 590,"C/ Virgen de la Cabeza 23, 2o D"
CTR-11-00190,11-CIUDAD DE ASIS,Maria Garcia Lopez,55,F,False,2,+34 690 694 156,"C/ Rio Turia 33, 3o C"
CTR-14-00191,14-ENSANCHE DIPUTACION,Ramon Gutierrez Vazquez,43,M,False,3,+34 619 835 120,"Av. Alfonso el Sabio 21, 2o D"
